christi3,Christine,Student at CMU,USA,English,christi3@andrew.cmu.edu,8581234567,5/23/98
michaelg,Michael,Always Traveling!,USA,English,michaelg@gmail.com,1235673728,3/29/90
sally92,Sally,Bonjour~,France,French,sally92@gmail.com,1202438492,5/22/92
cdu2620,Catherine,I hate Marvel so much it's unreal,USA,English,cdu2620@gmail.com,4106616029,3/10/00
catherid,Cathryn,I love Marvel so much it's unreal,China,Chinese,catherid@andrew.cmu.edu,4433108587,3/11/99
xinyih,Aiyana,Completely ambivalent about Marvel,Australia,English,xinyih@andrew.cmu.edu,3693692222,1/1/00
joannam1,Joanna,I love 262,South Africa,Afrikaans,joannam1@andrew.cmu.edu,4204206969,12/24/00
jeff,Jeffrey,I hate 262,Japan,Japanese,jeffc@yahoo.com,1088010234,2/23/98
ts13,Taylor,bruh,USA,English,ts13@yahoo.com,4564565555,12/13/89
bob,Robert,why,USA,English,bobby@gmail.com,2021501222,6/27/33
